frame,key_pressed
587,LEFT
588,none
589,none
590,none
591,none
592,none
593,none
594,none
595,none
596,none
597,DOWN
598,none
599,none
600,none
601,none
602,RIGHT
603,none
604,none
605,none
606,none
607,none
608,none
609,none
610,none
611,none
612,none
613,none
614,none
615,none
616,none
617,none
618,none
619,none
620,none
621,none
622,none
623,DOWN
624,none
625,none
626,none
627,none
628,none
629,none
630,none
631,none
632,none
633,none
634,none
635,none
636,none
637,none
638,none
639,none
640,none
641,none
642,none
643,none
644,RIGHT
645,none
646,none
647,none
648,none
649,none
650,UP
651,none
652,none
653,none
654,none
655,none
656,none
657,none
658,none
659,none
660,none
661,none
662,none
663,none
664,none
665,none
666,LEFT
667,none
668,none
669,none
670,none
671,none
672,none
673,none
674,none
675,DOWN
676,none
677,none
678,RIGHT
679,none
680,none
681,none
682,none
683,none
684,none
685,DOWN
686,none
687,none
688,none
689,none
690,RIGHT
691,none
692,UP
693,none
694,none
695,none
696,none
697,none
698,none
699,none
700,none
701,none
702,none
703,none
704,none
705,none
706,none
707,LEFT
708,none
709,none
710,none
711,none
712,none
713,none
714,none
715,none
716,none
717,none
718,none
719,none
720,none
721,none
722,none
723,DOWN
724,none
725,none
726,none
727,none
728,none
729,none
730,none
731,none
732,none
733,none
734,none
735,none
736,none
737,none
738,none
739,none
740,none
741,none
742,none
743,LEFT
744,none
745,none
746,none
747,none
748,none
749,none
750,none
751,none
752,UP
753,RIGHT
754,none
755,none
756,none
757,none
758,none
759,none
760,none
761,UP
762,none
763,none
764,none
765,none
766,none
767,none
768,none
769,none
770,none
771,LEFT
772,none
773,none
774,none
775,UP
776,none
777,none
778,none
779,none
780,none
781,none
782,none
783,none
784,none
785,RIGHT
786,none
787,none
788,none
789,none
790,none
791,none
792,none
793,none
794,DOWN
795,none
796,none
797,none
798,none
799,none
800,none
801,none
802,none
803,none
804,none
805,none
806,none
807,none
808,none
809,none
810,none
811,LEFT
812,none
813,none
814,none
815,none
816,none
817,none
818,none
819,none
820,none
821,none
822,none
823,none
824,none
825,none
826,none
827,UP
828,none
829,none
830,none
831,none
832,none
833,none
834,none
835,none
836,none
837,none
838,RIGHT
839,DOWN
840,none
841,none
842,none
843,none
844,none
845,none
846,none
847,none
848,none
849,RIGHT
850,none
851,none
852,none
853,none
854,none
855,none
856,none
857,none
858,none
859,none
860,none
861,none
862,none
863,none
864,none
865,none
866,none
867,none
868,none
869,none
870,none
871,none
872,none
873,none
874,none
875,none
876,none
877,none
878,none
879,UP
880,none
881,none
882,none
883,none
884,none
885,none
886,none
887,none
888,none
889,LEFT
890,none
891,none
892,none
893,none
894,none
895,none
896,none
897,DOWN
898,none
899,none
900,none
901,none
902,none
903,LEFT
904,none
905,none
906,none
907,none
908,none
909,none
910,none
911,none
912,none
913,none
914,none
915,none
916,none
917,none
918,none
919,none
920,none
921,none
922,none
923,UP
924,none
925,none
926,none
927,LEFT
928,none
929,DOWN
930,none
931,none
932,none
933,none
934,none
935,none
936,RIGHT
937,none
938,none
939,none
940,none
941,none
942,none
943,none
944,none
945,none
946,none
947,none
948,none
949,none
950,none
951,none
952,none
953,none
954,none
955,none
956,none
957,none
958,none
959,none
960,none
961,none
962,none
963,none
964,none
965,none
966,none
967,UP
968,none
969,none
970,none
971,none
972,none
973,none
974,none
975,none
976,LEFT
977,none
978,none
979,none
980,none
981,none
982,none
983,none
984,none
985,none
986,DOWN
987,none
988,none
989,none
990,none
991,none
992,none
993,none
994,none
995,RIGHT
996,none
997,none
998,none
999,none
1000,none
1001,none
1002,none
1003,none
1004,none
1005,UP
1006,none
1007,none
1008,none
1009,none
1010,none
1011,none
1012,none
1013,none
1014,none
1015,none
1016,LEFT
1017,none
1018,none
1019,none
1020,none
1021,none
1022,none
1023,none
1024,none
1025,DOWN
1026,none
1027,none
1028,RIGHT
1029,none
1030,none
1031,none
1032,none
1033,none
1034,DOWN
1035,none
1036,none
1037,none
1038,none
1039,none
1040,none
1041,none
1042,RIGHT
1043,none
1044,none
1045,none
1046,none
